Temperature,Concentration,Diffusion Coefficient,R^2,stderr,K_alpha,alpha,R^2_anomalous,stderr_K_alpha,stderr_alpha
260.1021021021021,66,3.0286587980832035e-11,0.9537346743766828,1.600954875090786e-05,5.179059814754169e-10,0.6504959850535132,0.9045041901421195,0.00011964149880483948,0.0010817374018643393
259.20120120120123,66,4.1479132469220424e-11,0.8935008823143891,3.436923714775062e-05,1.0140205111514397e-09,0.5238479737263922,0.9522779342958589,0.00013569759057304205,0.0006388045950796536
259.001001001001,66,8.311432887045907e-12,0.9280212603014985,5.55538004796151e-06,6.846705878246576e-10,0.22823676459768227,0.9535962654073126,3.119835148528112e-05,0.00023214324191980738
264.9069069069069,75,6.198844962734413e-11,0.9673503678262367,2.7332083352761215e-05,7.199346922915751e-10,0.7625298969855213,0.9774060810129127,0.00010391136607598677,0.0006663737979991896
320.86286286286287,75,8.515525964566895e-11,0.9931874627845786,1.6926416498029764e-05,8.708685105486951e-10,0.819087151609813,0.9833000503250795,0.00011283637315341251,0.0005944478656394115
314.55655655655653,75,2.7431898601810162e-11,0.9541044640145588,1.4439689082140166e-05,6.972086957746177e-10,0.5201773300743766,0.8870824170642838,0.00013402347024528676,0.0009182077907405886
282.42442442442444,75,2.628469593161497e-11,0.9735429238054937,1.0399466140625865e-05,5.786741068054986e-10,0.5631480072360923,0.9372797463645962,9.106825345853238e-05,0.0007464622836141353
269.61161161161164,75,7.773795028909131e-11,0.8958669026799034,6.36092754277158e-05,1.4558457230529607e-09,0.5996121002672573,0.9524492561000586,0.00023584913270383398,0.0007641088463772353
260.3023023023023,75,2.3371331480629093e-11,0.9716225727006601,9.585965976646905e-06,5.577406038894378e-10,0.5372252509367982,0.9358356528045262,8.39956825073564e-05,0.000717320037390538
277.61961961961964,75,4.166047441575076e-11,0.9378736572785622,2.573384332738847e-05,5.692210192668174e-10,0.7257543949400819,0.9048735817142181,0.00015209528055022385,0.001239094812154125
296.33833833833836,75,6.810360316467271e-11,0.957476783010593,3.444559858516236e-05,4.701221958193062e-10,0.9763736207987302,0.9467897616697183,0.00013256432355069714,0.0012743376886806244
326.0680680680681,75,5.114785424154237e-11,0.973422601734744,2.0283722214580294e-05,9.072908389793799e-10,0.637529626963312,0.9255497743176304,0.00017906966325262485,0.0009258573457081483
322.56456456456453,75,5.5875138464526935e-11,0.9966933937544563,7.724026933252055e-06,6.206815426592548e-10,0.7907906994605028,0.9849673632176843,7.268095628935611e-05,0.0005389003471309078
355.0970970970971,75,1.582249338005588e-10,0.9138608545905971,0.00011658693384691624,2.5431074518284694e-09,0.6486094051222534,0.9542538714404292,0.00044285768482734127,0.0008156095700664842
278.6206206206206,75,2.5008537583839523e-11,0.9123099457790445,1.8608311910653507e-05,9.065422433228113e-10,0.41478961814510623,0.987408743903829,4.5338042518798166e-05,0.00024360296300839914
331.77377377377377,75,6.677956204509439e-11,0.9946477278469894,1.175689743145255e-05,9.422065576490677e-10,0.7032268247932967,0.9934042814942009,6.399891069671081e-05,0.00031585856724343443
308.35035035035037,75,7.731724257236006e-11,0.9680668144510326,3.3702299138823463e-05,1.1925693525671374e-09,0.6673754791993496,0.9880847787441558,0.00010512275968143405,0.00041182093524366184
333.07507507507506,75,2.0887300781533562e-11,0.9806661836199623,7.038744998458867e-06,8.520673182948072e-10,0.381688230068029,0.8997675804302193,0.00010527528724188173,0.0006059962621653011
334.67667667667666,75,5.4884557354729526e-11,0.7026185813992641,8.56962821748532e-05,1.2012477642692755e-10,1.4729152105355878,0.7310700795299245,0.0001277026572562727,0.004649475749770685
284.6266266266266,75,4.5716361525170765e-11,0.9688765896340632,1.9665080693611206e-05,5.091642380472749e-10,0.7996686317985323,0.9403408283967952,0.00011881985055540103,0.0010729309251314013
332.8748748748749,75,1.7317302643084757e-11,0.84458072167676,1.782899343162327e-05,5.688144254955134e-10,0.4427024187327201,0.7025286773347277,0.00015547117262021444,0.001324070609936584
304.9469469469469,75,3.738636013138305e-11,0.9928817820607112,7.597396117399444e-06,7.298444459726381e-10,0.5993795736432905,0.9774412904896284,7.422763858285659e-05,0.0004797238030914305
281.7237237237237,75,2.184740443523116e-11,0.9808521856882919,7.326092299807453e-06,7.231805998832172e-10,0.4398526853880983,0.976933679467955,5.0790036296285056e-05,0.000340391536640221
266.7087087087087,75,2.2198805897473975e-11,0.9610816672673594,1.0721148134800929e-05,7.144759804668879e-10,0.4478824617163865,0.9843090540306045,4.2743793659085935e-05,0.00028950750841578234
331.17317317317315,75,4.666391946432663e-11,0.9625290930861495,2.209714164841496e-05,4.949613799595376e-10,0.8208207906943492,0.9304724753700845,0.00012787098070384927,0.0011850995309389456
353.4954954954955,75,1.742133351651017e-10,0.9791546882887412,6.100629551757747e-05,8.61502403963473e-10,1.0852341513541288,0.9818550617138053,0.00016697358919545184,0.0008681734531572654
261.1031031031031,75,6.368558477436711e-11,0.9710341897118457,2.6398632931342893e-05,9.970636895226322e-10,0.6630401714207773,0.9867630528915587,9.156324474023188e-05,0.00042928071304833087
340.3823823823824,75,4.7719401642024266e-11,0.9332290652583455,3.0634394821516394e-05,1.2410025838091306e-09,0.5060949164537567,0.9855483119421898,8.537854368653172e-05,0.00032941143858169526
356.3983983983984,75,3.470437475026357e-11,0.9709811250061214,1.439904975673138e-05,1.0380316747324233e-09,0.4681600430139409,0.9896608834012878,5.312833840972164e-05,0.00024673560199083705
261.60360360360363,75,1.7574539559778117e-11,0.9485696636601088,9.821407671901631e-06,6.61946324948379e-10,0.40455412799900553,0.9681930692371181,5.000409637744758e-05,0.0003687271697663241
337.1791791791792,75,3.6507540795660605e-11,0.9494456785011763,2.0218148275098283e-05,7.197915076072529e-10,0.6007973246185725,0.903898047736733,0.0001527679785250226,0.0010009047791925438
